OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,tribe_level,percent,Source,Confidence,Tribe_name,,,
3935,Horgoylow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6933,Buulo goloolle,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3763,Habriirow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3836,Dhanbalka,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3616,Midow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10481,Gediisoy,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3965,Talwa,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10221,Jamaacada sheikh adan / b,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10516,Habar gari,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6144,Mus duniya,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
4072,Dhariigada yaa,Bakool,Xudur,1,100%,,,Rahanweyn,,,
6896,Bakoolo diqa,Gedo,Ceel Waaq,1,100%,,,Rahanweyn,,,
3866,Qasaalow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3166,Qurunlow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4070,Ramidey,Bakool,Xudur,1,100%,,,Rahanweyn,,,
8283,Goley,Shabelle Dhexe,Balcad,1,100%,,,Rahanweyn,,,
6898,Buulo-tigoow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3697,Busley,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
2754,Fiidow,Shabelle Dhexe,Jowhar,1,100%,,,Rahanweyn,,,
6506,Helishiid dabadheer,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
3726,Uuslli,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3732,Dhay-dhay,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3734,Bali-bali,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6807,Ideed-dhooble,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
8267,Galool dheere,Shabelle Hoose,Wanla Weyn,1,100%,,,Rahanweyn,,,
3856,Makaran,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3695,Baarey,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
7040,Buulo jinaay,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10218,Fuud-doora,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3939,War-yaroy,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10184,Ruqiya,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10177,Kunyo rooble,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
